num_reserves,num_habitacions,num_dies,mitjana_temps_ms,mitjana_reserves_assignades,timeouts_errors,exit_ratio
1,1,1,237.14957237243652,0.7,3,7/10
1,2,1,77.48410701751709,0.4,6,4/10
2,3,2,84.56759452819824,1.2,4,6/10
2,4,2,80.89821338653564,1.6,2,8/10
3,5,3,83.6695671081543,1.5,5,5/10
3,6,3,86.985182762146,2.1,3,7/10
4,7,4,87.63751983642578,2.0,5,5/10
4,8,4,85.54904460906982,3.6,1,9/10
5,9,5,88.62757682800293,4.0,2,8/10
5,10,5,85.59000492095947,4.5,1,9/10
6,11,6,147.12281227111816,4.8,2,8/10
6,12,6,103.87966632843018,4.8,2,8/10
7,13,7,248.15151691436768,5.6,2,8/10
7,14,7,124.95710849761963,5.6,2,8/10
8,15,8,1632.6202630996704,7.2,1,9/10
8,16,8,888.6050939559937,7.2,1,9/10
9,17,9,135.92920303344727,9.0,0,10/10
9,18,9,137.60812282562256,9.0,0,10/10
10,19,10,158.85362029075623,8.0,2,8/10
10,20,10,151.81570053100586,10.0,0,10/10
