num_reserves,num_habitacions,num_dies,conflict_ratio,mitjana_temps_ms,assignades_avg,descartades_avg,pct_assignades,pct_descartades,errors
20,5,25,0.0,220.21796703338623,18.7,1.3,93.5,6.5,0
20,5,25,0.1,217.2396183013916,18.7,1.3,93.5,6.5,0
20,5,25,0.2,213.92662525177002,19.3,0.7,96.50000000000001,3.4999999999999996,0
20,5,25,0.3,218.6335802078247,18.8,1.2,94.0,6.0,0
20,5,25,0.4,209.16783809661865,17.7,2.3,88.5,11.5,0
20,5,25,0.5,227.8067111968994,16.9,3.1,84.5,15.5,0
20,5,25,0.6,210.23924350738525,16.7,3.3,83.5,16.499999999999996,0
20,5,25,0.7,214.6106719970703,15.0,5.0,75.0,25.0,0
20,5,25,0.8,194.47238445281982,13.6,6.4,68.0,32.0,0
20,5,25,0.9,200.66962242126465,9.4,10.6,47.0,53.0,0
20,5,25,1.0,196.19414806365967,7.4,12.6,37.0,63.0,0
